number,formid,form.sample_collection_dt,form.coordinates,form.species,form.if_other,form.cnty_name,form.sbcnty_name,form.sbcnty_name1,form.ward_sample,form.ward_sample1,form.sample_source,form.clinical_signs,form.if_known,form.other,completed_time,started_time,username,received_on,form_link,hq_user
131,34786d9a-b376-4a75-bf9a-1d61a1338b6a,18/05/2022,0.0088372 34.0988396 1131.0 7.35,5,---,sia_cnty,---,Bondo,---,Yimbo East,health_worker,1,aggressive running_aimlessly excessive_salivation high_libido,---,18/05/2022 06:42,18/05/2022 06:40,tabala,18/05/2022 06:42,https://www.commcarehq.org/a/onewater/reports/form_data/34786d9a-b376-4a75-bf9a-1d61a1338b6a/,tabala
132,61734607-8d8e-4ffe-838e-a737f2b03791,19/05/2022,-1.7760287 37.632733 1137.0 57.42,1,---,mkn_cnty,Mbooni,---,Tulimani,---,health_worker,1,paralysis ,Anorexia,19/05/2022 05:57,19/05/2022 05:55,muteti,19/05/2022 05:57,https://www.commcarehq.org/a/onewater/reports/form_data/61734607-8d8e-4ffe-838e-a737f2b03791/,muteti
133,04fcc4c7-4b22-4e56-907e-b6610b6a2da9,23/05/2022,0.0514289 34.2779851 1278.0 8.0,1,---,sia_cnty,---,Alego_Usonga,---,Siaya Township,health_worker,1,hydrophobia excessive_salivation paralysis,---,23/05/2022 11:14,23/05/2022 11:13,oigo,23/05/2022 11:14,https://www.commcarehq.org/a/onewater/reports/form_data/04fcc4c7-4b22-4e56-907e-b6610b6a2da9/,oigo
134,cb2a5b27-1a62-4545-80d8-46724a6cb4b9,25/05/2022,0.0555359 34.2825282 1298.0 6.5,1,---,sia_cnty,---,Alego_Usonga,---,Siaya Township,toll_free_line,1,aggressive hydrophobia excessive_salivation paralysis,---,25/05/2022 07:36,25/05/2022 07:35,oigo,25/05/2022 07:36,https://www.commcarehq.org/a/onewater/reports/form_data/cb2a5b27-1a62-4545-80d8-46724a6cb4b9/,oigo
135,649d8efd-ac5e-49fb-a420-2211c32b1a55,28/05/2022,0.2023327 34.3630015 1294.0 5.06,5,---,sia_cnty,---,Ugunja,---,Sigomere,health_worker,1,aggressive running_aimlessly high_libido paralysis,Abnormal_vocalization,28/05/2022 11:04,28/05/2022 11:02,tabala,28/05/2022 11:05,https://www.commcarehq.org/a/onewater/reports/form_data/649d8efd-ac5e-49fb-a420-2211c32b1a55/,tabala
136,bf2c867b-c646-427f-a088-9703892473a2,03/06/2022,0.1992256 34.3392067 1267.0 7.5,1,---,sia_cnty,---,Ugunja,---,Ugunja,health_worker,1,excessive_salivation biting_objects paralysis,---,03/06/2022 06:52,03/06/2022 06:50,oigo,03/06/2022 06:52,https://www.commcarehq.org/a/onewater/reports/form_data/bf2c867b-c646-427f-a088-9703892473a2/,oigo
137,80f57bf1-e6dd-4d84-95d9-6d263b4aadab,03/06/2022,-1.8189811 37.3369929 1703.0 7.64,5,---,mkn_cnty,Kilome,---,Mukaa,---,health_worker,1,hydrophobia excessive_salivation paralysis ,Anorexia,03/06/2022 10:47,03/06/2022 10:45,muteti,03/06/2022 10:47,https://www.commcarehq.org/a/onewater/reports/form_data/80f57bf1-e6dd-4d84-95d9-6d263b4aadab/,muteti
138,4464c9e1-6f95-4cc2-bc0d-1d96ae8b5c67,04/06/2022,-1.9998655 37.7064121 1003.0 10.53,1,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive biting_objects paralysis,---,04/06/2022 14:40,04/06/2022 14:38,muteti,04/06/2022 14:40,https://www.commcarehq.org/a/onewater/reports/form_data/4464c9e1-6f95-4cc2-bc0d-1d96ae8b5c67/,muteti
139,bc4eb26d-8631-41ee-8899-d57dc5dfbc20,09/06/2022,-0.2436026 34.3405267 1179.0 4.5,1,---,sia_cnty,---,Rarieda,---,North Uyoma,health_worker,1,aggressive hydrophobia biting_objects high_libido paralysis,---,09/06/2022 16:19,09/06/2022 16:18,tabala,09/06/2022 16:20,https://www.commcarehq.org/a/onewater/reports/form_data/bc4eb26d-8631-41ee-8899-d57dc5dfbc20/,tabala
140,db51fd49-a35c-4cbc-9e21-d67ce7798746,13/06/2022,-1.940887 37.7142607 1075.0 16.33,1,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly excessive_salivation,---,13/06/2022 14:07,13/06/2022 14:07,jim,13/06/2022 14:08,https://www.commcarehq.org/a/onewater/reports/form_data/db51fd49-a35c-4cbc-9e21-d67ce7798746/,jim
141,d4780367-de18-4d98-9609-3c9329be0a78,15/06/2022,-2.0733317 37.667126 1016.0 9.79,1,---,mkn_cnty,Kibwezi_West,---,Nguu/Masumba,---,health_worker,0,---,---,15/06/2022 14:04,15/06/2022 14:03,muteti,15/06/2022 14:04,https://www.commcarehq.org/a/onewater/reports/form_data/d4780367-de18-4d98-9609-3c9329be0a78/,muteti
142,63f51c08-e6fb-454b-aa42-b63f8c21ede1,15/06/2022,-1.8841657 37.7251635 1065.0 12.62,1,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive excessive_salivation paralysis,---,15/06/2022 16:18,15/06/2022 16:17,jim,15/06/2022 16:18,https://www.commcarehq.org/a/onewater/reports/form_data/63f51c08-e6fb-454b-aa42-b63f8c21ede1/,jim
143,e987e9b5-bcee-4abf-86c7-173fa49a7d0c,15/06/2022,-1.884068 37.7252467 1072.0 7.31,5,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,excessive_salivation paralysis ,Anorexia,15/06/2022 16:15,15/06/2022 16:12,muteti,15/06/2022 16:21,https://www.commcarehq.org/a/onewater/reports/form_data/e987e9b5-bcee-4abf-86c7-173fa49a7d0c/,muteti
144,a5a436d2-6312-4cdc-99c0-004694d5e73f,16/06/2022,-0.0475245 34.4200927 1285.0 5.0,1,---,sia_cnty,---,Gem,---,South Gem,toll_free_line,1,aggressive running_aimlessly excessive_salivation,---,16/06/2022 12:08,16/06/2022 12:06,oigo,16/06/2022 12:08,https://www.commcarehq.org/a/onewater/reports/form_data/a5a436d2-6312-4cdc-99c0-004694d5e73f/,oigo
145,0ab6cabc-4863-4a79-898b-fade0b6c4888,17/06/2022,-1.7750566 37.6357727 1105.0 5.71,3,---,mkn_cnty,Makueni,---,Wote,---,health_worker,1,aggressive excessive_salivation paralysis,Anorexia,17/06/2022 08:04,17/06/2022 08:02,jim,17/06/2022 08:04,https://www.commcarehq.org/a/onewater/reports/form_data/0ab6cabc-4863-4a79-898b-fade0b6c4888/,jim
146,2fbab003-2141-4d06-9606-1f2f063daab1,17/06/2022,-2.0374283 37.7641233 0.0 4300.0,1,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,hydrophobia paralysis,Anorexia,17/06/2022 10:46,17/06/2022 10:43,muteti,17/06/2022 10:46,https://www.commcarehq.org/a/onewater/reports/form_data/2fbab003-2141-4d06-9606-1f2f063daab1/,muteti
147,d58a2f3c-a9ac-4a6f-bfe6-de463e55f61e,21/06/2022,-1.9036766 37.7194788 1088.0 9.53,1,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,0,---,---,21/06/2022 07:53,21/06/2022 07:52,muteti,21/06/2022 07:53,https://www.commcarehq.org/a/onewater/reports/form_data/d58a2f3c-a9ac-4a6f-bfe6-de463e55f61e/,muteti
148,b8b6973d-b437-4c10-94a1-53c3fb9a36bf,21/06/2022,-0.0535205 34.1570374 1156.0 6.2,5,---,sia_cnty,---,Bondo,---,Yimbo East,health_worker,1,aggressive running_aimlessly hydrophobia excessive_salivation high_libido paralysis,---,21/06/2022 12:48,21/06/2022 12:47,tabala,21/06/2022 12:49,https://www.commcarehq.org/a/onewater/reports/form_data/b8b6973d-b437-4c10-94a1-53c3fb9a36bf/,tabala
149,7c33b538-010f-4f48-ab7d-810f918ffc9e,22/06/2022,-0.2353645 34.2617011 1130.0 544.97,1,---,sia_cnty,---,Rarieda,---,West Uyoma,toll_free_line,1,aggressive running_aimlessly hydrophobia biting_objects,---,22/06/2022 07:57,22/06/2022 07:56,oigo,22/06/2022 07:57,https://www.commcarehq.org/a/onewater/reports/form_data/7c33b538-010f-4f48-ab7d-810f918ffc9e/,oigo
150,176262ab-b3a3-4685-8af3-2e67a381c1f2,22/06/2022,0.0809929 34.2420502 1220.0 5.22,5,---,sia_cnty,---,Alego_Usonga,---,Central Alego,health_worker,1,aggressive hydrophobia excessive_salivation high_libido paralysis,---,22/06/2022 14:53,22/06/2022 14:50,tabala,22/06/2022 14:53,https://www.commcarehq.org/a/onewater/reports/form_data/176262ab-b3a3-4685-8af3-2e67a381c1f2/,tabala
151,3d2787dd-1594-4d7a-ac64-cce879657aff,25/06/2022,0.1134189 34.451805 1394.0 4.94,1,---,sia_cnty,---,Gem,---,North Gem,toll_free_line,1,aggressive running_aimlessly excessive_salivation biting_objects high_libido paralysis,---,25/06/2022 13:06,25/06/2022 13:04,tabala,25/06/2022 13:07,https://www.commcarehq.org/a/onewater/reports/form_data/3d2787dd-1594-4d7a-ac64-cce879657aff/,tabala
152,ae97d07d-8e0e-44da-bc2a-b0485bda915a,25/06/2022,-1.9170113 37.638041 1071.0 9.33,1,---,mkn_cnty,Makueni,---,Muvau / Kikumini,---,health_worker,1,aggressive running_aimlessly excessive_salivation,---,25/06/2022 12:11,25/06/2022 12:10,muteti,26/06/2022 08:18,https://www.commcarehq.org/a/onewater/reports/form_data/ae97d07d-8e0e-44da-bc2a-b0485bda915a/,muteti
153,8d8e659a-ce5f-418c-a15a-4d242ee0e2c8,28/06/2022,-0.1394914 34.355399 1216.0 19.64,1,---,sia_cnty,---,Rarieda,---,West Asembo,health_worker,1,aggressive biting_objects,---,28/06/2022 07:54,28/06/2022 07:47,oigo,28/06/2022 07:56,https://www.commcarehq.org/a/onewater/reports/form_data/8d8e659a-ce5f-418c-a15a-4d242ee0e2c8/,oigo
154,aef99198-df00-462b-8a47-54654700f172,29/06/2022,-0.0656039 34.405968 1328.0 12.18,1,---,sia_cnty,---,Gem,---,South Gem,toll_free_line,1,aggressive running_aimlessly high_libido,---,29/06/2022 04:34,29/06/2022 04:33,oigo,29/06/2022 04:34,https://www.commcarehq.org/a/onewater/reports/form_data/aef99198-df00-462b-8a47-54654700f172/,oigo
155,92212481-abf9-4557-a7df-a72809346868,05/07/2022,-1.9545825 37.477391 1515.0 7.85,3,---,mkn_cnty,Makueni,---,Mbitini,---,health_worker,1,aggressive biting_objects,Anorexia abnormal_vocalization,05/07/2022 14:27,05/07/2022 14:24,muteti,05/07/2022 14:27,https://www.commcarehq.org/a/onewater/reports/form_data/92212481-abf9-4557-a7df-a72809346868/,muteti
156,7d0614cf-6c68-4da7-a2bd-59b10e0402b1,08/07/2022,-1.9768624 37.7129425 1005.0 6.35,3,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive excessive_salivation,Anorexis,08/07/2022 09:21,08/07/2022 09:20,jim,08/07/2022 09:21,https://www.commcarehq.org/a/onewater/reports/form_data/7d0614cf-6c68-4da7-a2bd-59b10e0402b1/,jim
157,444ac3ff-16ca-4300-b1f8-c350e0a7cfad,08/07/2022,-1.9510251 37.7232204 1022.0 611.57,1,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,0,---,---,08/07/2022 13:05,08/07/2022 13:04,jim,08/07/2022 13:05,https://www.commcarehq.org/a/onewater/reports/form_data/444ac3ff-16ca-4300-b1f8-c350e0a7cfad/,jim
158,affef081-4ef7-400d-b406-0ddabe1d68c7,12/07/2022,-0.1825339 34.3808759 1133.0 9.07,1,---,sia_cnty,---,Rarieda,---,East Asembo,health_worker,1,running_aimlessly excessive_salivation biting_objects paralysis,---,12/07/2022 12:22,12/07/2022 12:21,oigo,12/07/2022 12:22,https://www.commcarehq.org/a/onewater/reports/form_data/affef081-4ef7-400d-b406-0ddabe1d68c7/,oigo
159,f2560f3e-54a7-4e0d-ac94-142ce85c7fb0,12/07/2022,-1.7230035 37.4228509 1353.0 9.91,3,---,mkn_cnty,Kaiti,---,Ukia,---,health_worker,1,aggressive biting_objects high_libido,Abnormal_vocalization,12/07/2022 13:02,12/07/2022 13:00,muteti,12/07/2022 13:02,https://www.commcarehq.org/a/onewater/reports/form_data/f2560f3e-54a7-4e0d-ac94-142ce85c7fb0/,muteti
